"id","parent_id","name","slug","description","status_id","type_id","target_date","created_at","updated_at","notes"
1,NULL,"Project Crew","project-crew","Python CLI tool for automating creation and management of coding projects. Interactive menu interface; GUI planned as a visualizer layer on top of the CLI.",1,1,NULL,"2026-04-14 05:48:24.298313","2026-04-14 05:48:24.298313",NULL
3,NULL,"Job Hunt","job-hunt","Track job applications, contacts, interviews, and follow-ups.",1,4,NULL,"2026-04-14 05:48:24.298313","2026-04-14 05:48:24.298313",NULL
4,NULL,"Story Gems","story-gems","Story-based game development project.",1,3,NULL,"2026-04-14 05:48:24.298313","2026-04-14 05:48:24.298313",NULL
5,1,"Todo Plugin","project-crew-todo","Migrate todo package into project-crew as a plugin. Verify Project Crew plugin compatibility and add postgres integration.",1,1,NULL,"2026-04-14 05:48:24.332879","2026-04-14 05:48:24.332879",NULL
7,1,"dbkit","dbkit","Shared postgres utility library: DBConnection, SlugResolver, FileRegistry, CSVImporter. Lives in dev-utils alongside menukit and fletcher.",1,1,NULL,"2026-04-14 05:48:24.332879","2026-04-14 05:48:24.332879",NULL
9,NULL,"WCYJ Refurbs & WCYJ Store","wcyj-refurbs-wcyj-store","The project is to get a small business going, to refurbish Windows 10 eol machines into linux, as either a home media center or using a Zorin  OS/ MX linux/other OS.

A mozilla solo website was created for the business. refurbs.whycantyoujust.tech will be pointed at it. Images for the website are uploaded to this project. 

I've also created a solo website for store.whycantyoujust.tech ",2,1,NULL,"2026-04-14 23:38:06.888039","2026-04-14 23:38:06.888039",NULL
8,1,"The Curator","the-curator","Web UI for projects database CRUD operations.
""Built with FastAPI and Jinja2, backed by PostgreSQL on steward. Views are driven by YAML configuration via viewkit, with dbkit handling async database connections.""",1,1,NULL,"2026-04-14 06:41:44.522109","2026-04-22 01:04:27.455285","These notes are a pain"
12,NULL,"dev-utils","dev-utils","repo for useful small devlopment tools that can serve as standalone tools as well as plugins to other packages.",1,1,NULL,"2026-04-16 20:29:44.828124","2026-04-16 20:29:44.828124",NULL
13,1,"code patterns","code-patterns","way to identify coding patterns in a personal library to create structures like the dev-utils *kits",2,1,NULL,"2026-04-16 21:18:27.257935","2026-04-16 21:18:27.257935",NULL
15,12,"setupkit","setupkit","refactor: add date checking for manifest and if different from runtime  prompt to generate a fresh one (y/n)",2,1,NULL,"2026-04-17 04:04:52.475366","2026-04-17 04:04:52.475366",NULL
14,12,"Fletcher","fletcher","dev-utils utility for generating a manifest of raw urls for github repos.",1,1,NULL,"2026-04-17 03:43:24.724252","2026-04-17 04:49:05.45188",NULL
2,18,"DNS/DHCP Hardening","bind9-dhcp","Standardise and systematise bind9 and isc-dhcp server settings for LAN devices.",2,2,NULL,"2026-04-14 05:48:24.298313","2026-04-17 17:43:45.043833",NULL
